,listing_bathrooms,listing_bedrooms,listing_beds,listing_person_capacity,listing_id,listing_is_business_travel_ready,listing_is_fully_refundable,listing_is_host_highly_rated,listing_is_rebookable,listing_is_superhost,listing_lat,listing_lng,listing_picture_count,listing_preview_amenities,listing_reviews_count,listing_star_rating,listing_tier_id,pricing_quote_rate_with_service_fee_amount,pricing_quote_rate_with_service_fee_currency,pricing_quote_rate_type
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
7,1.0,1,1,2,1522559,False,True,False,False,False,50.939519516502436,6.93642649657112,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",535,4.5,0,68.0,USD,nightly
8,1.0,1,1,4,16586703,False,True,True,False,False,50.93812597083706,6.960486328207531,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",151,5.0,0,58.0,USD,nightly
9,1.0,1,1,2,622319,False,True,True,False,True,50.956708346039704,7.015723170558396,21,"Wifi, Kitchen",283,5.0,0,35.0,USD,nightly
10,0.5,1,1,1,7486553,False,True,False,False,True,50.959904,6.947871,10,"Kitchen, Hair dryer, Laptop friendly workspace",147,4.5,0,20.0,USD,nightly
11,1.0,1,2,2,17606198,False,True,False,False,False,50.937953018739904,6.9573883578179005,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",115,4.5,0,47.0,USD,nightly
12,1.0,0,2,2,22780131,False,True,False,False,False,50.9330085916823,6.950762153311105,10,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",42,4.5,0,35.0,USD,nightly
13,1.0,1,1,2,16669399,False,True,True,False,False,50.95399300674488,6.952722278186182,5,"Wifi, Hair dryer, Laptop friendly workspace",151,5.0,0,23.0,USD,nightly
14,1.0,1,1,2,2434296,False,True,True,False,True,50.949019535578834,6.961224287277642,23,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",250,5.0,0,58.0,USD,nightly
15,1.0,1,3,3,611898,False,True,True,False,False,50.92816367217964,6.943894212506452,8,"Wifi, Hair dryer",191,5.0,0,25.0,USD,nightly
16,1.0,0,3,5,21360894,False,True,True,False,True,50.9328031628255,7.0011851951438375,17,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",70,5.0,0,23.0,USD,nightly
17,1.0,1,2,3,15441038,False,True,True,False,True,50.948074942370965,6.951266388945117,21,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",101,5.0,0,58.0,USD,nightly
0,1.0,1,1,2,10072062,False,True,True,False,True,50.93132058257875,6.9476197647107,9,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",159,5.0,0,53.0,USD,nightly
1,1.0,1,1,2,1784688,False,True,True,False,True,50.939117,6.942509,20,"Wifi, Hair dryer, Laptop friendly workspace",293,5.0,0,41.0,USD,nightly
2,1.0,1,1,2,13964044,False,True,False,False,False,50.93883584051595,6.961232864031523,15,Kitchen,44,4.5,0,42.0,USD,nightly
3,1.0,0,3,5,21353669,False,True,True,False,True,50.93405996824126,7.001129553799529,22,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",64,5.0,0,23.0,USD,nightly
4,1.0,1,1,2,15442238,False,True,True,False,True,50.93805764256281,6.940766744101297,31,"Wifi, Kitchen, Hair dryer, Laptop friendly workspace",219,5.0,0,39.0,USD,nightly
5,1.0,1,1,2,1207095,False,True,True,False,True,50.9331856845568,6.9246475845617255,24,"Wifi, Kitchen, Laptop friendly workspace",207,5.0,0,40.0,USD,nightly
6,1.0,2,2,5,18014143,False,True,True,False,False,50.92765938720626,6.944763622636513,10,"Wifi, Kitchen, Hair dryer",118,4.5,0,76.0,USD,nightly
